E1 & Torque & Speed
V & Nm & rpm

  0.04 &     0 &    0.43
 18.84 & -0.15 &  308.54
  35.6 & -0.17 &  607.85
    53 & -0.18 &  913.84
 70.23 & -0.19 & 1220.52
 86.02 & -0.20 & 1502.90
102.99 & -0.21 & 1807.37
119.92 & -0.22 & 2107.53


voltage in & current in & power in & torque & speed & mech power & efficiency
V & A & W & Nm & rpm & W & 

88.71 & 0.94 &  89.90 & 0.32 & 1525.44 &  51.03 & 56.76
87.42 & 1.25 & 116.22 & 0.48 & 1474.08 &  74.44 & 64.05
86.08 & 1.58 & 144.32 & 0.67 & 1436.68 & 100.54 & 69.67
84.88 & 2.02 & 180.53 & 0.90 & 1394.14 & 131.70 & 72.96
83.98 & 2.40 & 210.73 & 1.11 & 1362.04 & 158.61 & 75.27
83.21 & 2.77 & 239.24 & 1.31 & 1340.72 & 183.39 & 76.65
82.42 & 3.13 & 267.18 & 1.50 & 1309.10 & 205.88 & 77.06
81.67 & 3.53 & 297.42 & 1.71 & 1273.63 & 227.89 & 76.62
81.01 & 3.90 & 325.22 & 1.92 & 1256.24 & 252.54 & 77.65
80.34 & 4.24 & 349.83 & 2.08 & 1232.10 & 268.29 & 76.69
79.57 & 4.64 & 379.02 & 2.30 & 1208.88 & 291.42 & 76.89
