x-axis-Sec	ch1	ch2
-0.00005	1.833	2.98
-0.00004995	1.77	3.043
-0.0000499	1.77	3.23
-0.00004985	1.77	3.418
-0.0000498	1.77	3.543
-0.00004975	1.77	3.605
-0.0000497	1.77	3.793
-0.00004965	1.77	3.855
-0.0000496	1.77	3.918
-0.00004955	1.708	3.918
-0.0000495	1.708	4.043
-0.00004945	1.708	3.918
-0.0000494	1.645	3.98
-0.00004935	1.77	4.043
-0.0000493	1.645	4.168
-0.00004925	1.645	4.105
-0.0000492	1.645	4.168
-0.00004915	1.645	4.105
-0.0000491	1.645	4.168
-0.00004905	1.583	4.23
-0.000049	1.583	4.293
-0.00004895	1.583	4.293
-0.0000489	1.583	4.293
-0.00004885	1.458	4.293
-0.0000488	1.52	4.418
-0.00004875	1.583	4.293
-0.0000487	1.52	4.355
-0.00004865	1.583	4.355
-0.0000486	1.583	4.355
-0.00004855	1.52	4.418
-0.0000485	1.458	4.355
-0.00004845	1.458	4.418
-0.0000484	1.458	4.418
-0.00004835	1.52	4.48
-0.0000483	1.458	4.48
-0.00004825	1.458	4.48
-0.0000482	1.52	4.48
-0.00004815	1.458	4.48
-0.0000481	1.52	4.543
-0.00004805	1.458	4.48
-0.000048	1.395	4.48
-0.00004795	1.395	4.543
-0.0000479	1.395	4.543
-0.00004785	1.333	4.543
-0.0000478	1.333	4.543
-0.00004775	1.395	4.543
-0.0000477	1.395	4.543
-0.00004765	1.333	4.668
-0.0000476	1.333	4.543
-0.00004755	1.395	4.668
-0.0000475	1.333	4.605
-0.00004745	1.395	4.605
-0.0000474	1.27	4.73
-0.00004735	1.27	4.73
-0.0000473	1.27	4.793
-0.00004725	1.208	4.668
-0.0000472	1.27	4.73
-0.00004715	1.27	4.73
-0.0000471	1.208	4.668
-0.00004705	1.27	4.793
-0.000047	1.208	4.73
-0.00004695	1.208	4.793
-0.0000469	1.208	4.793
-0.00004685	1.208	4.73
-0.0000468	1.145	4.73
-0.00004675	1.208	4.73
-0.0000467	1.145	4.855
-0.00004665	1.145	4.855
-0.0000466	1.083	4.793
-0.00004655	1.083	4.793
-0.0000465	1.083	4.73
-0.00004645	1.083	4.793
-0.0000464	1.083	4.793
-0.00004635	1.02	4.793
-0.0000463	1.083	4.855
-0.00004625	1.02	4.855
-0.0000462	0.9575	4.855
-0.00004615	0.9575	4.855
-0.0000461	0.9575	4.855
-0.00004605	1.083	4.855
-0.000046	1.02	4.855
-0.00004595	0.9575	4.855
-0.0000459	0.9575	4.855
-0.00004585	0.9575	4.855
-0.0000458	0.9575	4.855
-0.00004575	0.9575	4.855
-0.0000457	0.9575	4.98
-0.00004565	0.895	4.855
-0.0000456	1.02	4.855
-0.00004555	0.895	4.855
-0.0000455	0.8325	4.855
-0.00004545	0.8325	4.855
-0.0000454	0.895	4.855
-0.00004535	0.895	4.98
-0.0000453	0.8325	4.918
-0.00004525	0.77	4.855
-0.0000452	0.8325	4.918
-0.00004515	0.8325	4.98
-0.0000451	0.77	4.918
-0.00004505	0.8325	4.855
-0.000045	0.8325	4.855
-0.00004495	0.77	4.98
-0.0000449	0.7075	4.918
-0.00004485	0.8325	4.98
-0.0000448	0.8325	4.98
-0.00004475	0.8325	4.918
-0.0000447	0.7075	4.918
-0.00004465	0.7075	4.98
-0.0000446	0.7075	4.855
-0.00004455	0.7075	4.918
-0.0000445	0.7075	4.855
-0.00004445	0.7075	4.98
-0.0000444	0.645	4.98
-0.00004435	0.645	4.98
-0.0000443	0.7075	4.98
-0.00004425	0.7075	4.918
-0.0000442	0.5825	4.98
-0.00004415	0.645	4.98
-0.0000441	0.645	4.918
-0.00004405	0.645	4.98
-0.000044	0.645	4.918
-0.00004395	0.52	4.98
-0.0000439	0.52	4.918
-0.00004385	0.645	4.98
-0.0000438	0.5825	4.98
-0.00004375	0.52	4.918
-0.0000437	0.52	4.918
-0.00004365	0.52	4.98
-0.0000436	0.5825	4.918
-0.00004355	0.5825	4.918
-0.0000435	0.4575	4.918
-0.00004345	0.4575	4.98
-0.0000434	0.4575	4.855
-0.00004335	0.52	4.98
-0.0000433	0.4575	4.98
-0.00004325	0.395	4.98
-0.0000432	0.4575	4.98
-0.00004315	0.395	4.98
-0.0000431	0.395	4.918
-0.00004305	0.395	4.98
-0.000043	0.3325	4.98
-0.00004295	0.3325	4.918
-0.0000429	0.3325	4.918
-0.00004285	0.3325	4.98
-0.0000428	0.3325	4.98
-0.00004275	0.3325	4.918
-0.0000427	0.3325	4.98
-0.00004265	0.3325	4.918
-0.0000426	0.3325	4.918
-0.00004255	0.3325	4.98
-0.0000425	0.27	4.98
-0.00004245	0.27	4.918
-0.0000424	0.2075	4.918
-0.00004235	0.3325	4.918
-0.0000423	0.27	5.043
-0.00004225	0.395	4.98
-0.0000422	0.145	4.918
-0.00004215	0.27	4.918
-0.0000421	0.2075	4.98
-0.00004205	0.2075	4.98
-0.000042	0.2075	4.98
-0.00004195	0.145	4.98
-0.0000419	0.2075	4.918
-0.00004185	0.2075	4.918
-0.0000418	0.145	4.918
-0.00004175	0.2075	4.98
-0.0000417	0.0825	4.855
-0.00004165	0.0825	4.918
-0.0000416	0.0825	4.98
-0.00004155	0.0825	4.918
-0.0000415	0.0825	4.918
-0.00004145	0.0825	4.918
-0.0000414	0.0825	4.98
-0.00004135	0.0825	4.918
-0.0000413	0.02	4.98
-0.00004125	0.0825	4.98
-0.0000412	-0.0425	4.918
-0.00004115	-0.0425	4.98
-0.0000411	-0.0425	4.918
-0.00004105	-0.0425	4.918
-0.000041	0.02	4.918
-0.00004095	0.02	4.918
-0.0000409	0.02	4.98
-0.00004085	0.02	4.98
-0.0000408	0.02	4.918
-0.00004075	0.02	4.918
-0.0000407	0.02	4.918
-0.00004065	0.0825	4.918
-0.0000406	0.02	4.98
-0.00004055	0.0825	4.918
-0.0000405	0.0825	4.98
-0.00004045	0.0825	4.918
-0.0000404	0.0825	4.918
-0.00004035	0.0825	4.98
-0.0000403	0.145	4.98
-0.00004025	0.145	4.98
-0.0000402	0.145	4.98
-0.00004015	0.145	4.98
-0.0000401	0.2075	4.98
-0.00004005	0.145	4.855
-0.00004	0.27	4.918
-0.00003995	0.2075	4.918
-0.0000399	0.2075	4.918
-0.00003985	0.2075	4.98
-0.0000398	0.2075	4.98
-0.00003975	0.27	4.918
-0.0000397	0.2075	4.98
-0.00003965	0.2075	4.918
-0.0000396	0.3325	4.918
-0.00003955	0.27	4.918
-0.0000395	0.3325	4.918
-0.00003945	0.395	4.98
-0.0000394	0.3325	4.918
-0.00003935	0.3325	4.918
-0.0000393	0.3325	4.98
-0.00003925	0.395	4.918
-0.0000392	0.3325	4.98
-0.00003915	0.3325	4.98
-0.0000391	0.395	4.918
-0.00003905	0.395	4.918
-0.000039	0.395	4.98
-0.00003895	0.3325	4.98
-0.0000389	0.52	4.98
-0.00003885	0.4575	4.98
-0.0000388	0.395	4.98
-0.00003875	0.52	4.98
-0.0000387	0.4575	4.918
-0.00003865	0.4575	4.918
-0.0000386	0.4575	4.918
-0.00003855	0.4575	4.98
-0.0000385	0.52	4.98
-0.00003845	0.5825	4.918
-0.0000384	0.52	4.98
-0.00003835	0.52	4.918
-0.0000383	0.52	4.98
-0.00003825	0.52	4.98
-0.0000382	0.5825	4.98
-0.00003815	0.52	4.918
-0.0000381	0.5825	4.98
-0.00003805	0.5825	4.98
-0.000038	0.5825	4.98
-0.00003795	0.5825	4.98
-0.0000379	0.5825	4.918
-0.00003785	0.645	4.98
-0.0000378	0.5825	4.98
-0.00003775	0.645	4.918
-0.0000377	0.645	4.98
-0.00003765	0.645	4.855
-0.0000376	0.645	4.918
-0.00003755	0.7075	4.98
-0.0000375	0.7075	4.98
-0.00003745	0.645	4.918
-0.0000374	0.77	4.918
-0.00003735	0.77	4.98
-0.0000373	0.8325	4.98
-0.00003725	0.77	4.98
-0.0000372	0.8325	4.98
-0.00003715	0.7075	4.98
-0.0000371	0.77	4.918
-0.00003705	0.8325	4.918
-0.000037	0.77	4.855
-0.00003695	0.77	4.98
-0.0000369	0.77	4.918
-0.00003685	0.77	4.855
-0.0000368	0.8325	4.918
-0.00003675	0.77	4.98
-0.0000367	0.895	4.918
-0.00003665	0.895	4.918
-0.0000366	0.895	4.918
-0.00003655	0.8325	4.98
-0.0000365	0.8325	4.855
-0.00003645	0.895	4.98
-0.0000364	1.02	4.98
-0.00003635	0.9575	4.855
-0.0000363	1.02	4.855
-0.00003625	0.9575	4.855
-0.0000362	0.9575	4.855
-0.00003615	0.9575	4.855
-0.0000361	0.9575	4.855
-0.00003605	0.9575	4.855
-0.000036	1.02	4.855
-0.00003595	1.083	4.855
-0.0000359	1.083	4.855
-0.00003585	1.083	4.855
-0.0000358	1.083	4.793
-0.00003575	1.02	4.793
-0.0000357	1.083	4.793
-0.00003565	1.145	4.855
