x-axis-Sec	ch1	ch2	ch2
-0.000025	-0.12	4.984	4.943
-0.000024975	0.005	5.125	4.943
-0.00002495	-0.12	5.062	5.005
-0.000024925	-0.12	4.922	4.943
-0.0000249	-0.12	4.937	4.943
-0.000024875	-0.12	5.047	4.88
-0.00002485	-0.12	4.984	4.943
-0.000024825	-0.12	5	4.88
-0.0000248	-0.12	5	4.943
-0.000024775	0.005	4.937	4.943
-0.00002475	-0.12	5	4.88
-0.000024725	0.005	5	4.943
-0.0000247	0.005	4.968	4.88
-0.000024675	-0.12	4.984	4.943
-0.00002465	-0.0575	5	4.943
-0.000024625	-0.12	4.968	4.88
-0.0000246	-0.12	4.984	4.88
-0.000024575	-0.12	4.984	4.943
-0.00002455	-0.12	4.968	5.005
-0.000024525	0.005	4.984	4.943
-0.0000245	0.005	4.968	4.88
-0.000024475	-0.12	4.968	4.943
-0.00002445	-0.12	5	5.005
-0.000024425	-0.0575	5.015	4.88
-0.0000244	0.005	5	5.005
-0.000024375	-0.12	5	4.943
-0.00002435	-0.12	4.968	5.005
-0.000024325	-0.12	5	4.943
-0.0000243	0.005	5	4.88
-0.000024275	-0.12	5	4.943
-0.00002425	-0.12	4.984	4.88
-0.000024225	0.005	4.968	4.943
-0.0000242	-0.12	4.984	4.943
-0.000024175	-0.12	4.968	4.88
-0.00002415	-0.12	4.984	4.88
-0.000024125	-0.12	4.968	4.943
-0.0000241	-0.0575	4.968	4.943
-0.000024075	-0.12	5	4.943
-0.00002405	-0.12	5	4.943
-0.000024025	-0.12	5	4.943
-0.000024	-0.0575	4.968	4.943
-0.000023975	0.005	4.984	4.943
-0.00002395	-0.0575	4.984	5.005
-0.000023925	-0.12	4.984	4.88
-0.0000239	0.005	4.968	4.943
-0.000023875	0.005	5	5.005
-0.00002385	-0.12	5	4.943
-0.000023825	-0.12	4.984	4.943
-0.0000238	-0.12	5	4.88
-0.000023775	-0.12	4.984	4.943
-0.00002375	0.005	4.968	4.943
-0.000023725	-0.12	4.968	4.943
-0.0000237	-0.12	4.984	4.88
-0.000023675	0.005	4.968	4.88
-0.00002365	-0.12	5.015	4.88
-0.000023625	-0.0575	4.968	4.943
-0.0000236	-0.12	4.968	4.943
-0.000023575	0.005	5	4.943
-0.00002355	-0.12	4.984	4.943
-0.000023525	0.005	4.984	4.943
-0.0000235	-0.0575	4.968	4.88
-0.000023475	-0.12	4.968	4.943
-0.00002345	-0.12	5	4.943
-0.000023425	-0.12	4.968	4.943
-0.0000234	-0.12	5	4.943
-0.000023375	-0.12	5	4.943
-0.00002335	-0.12	4.984	4.943
-0.000023325	-0.12	4.968	4.88
-0.0000233	-0.12	4.968	4.943
-0.000023275	-0.12	4.984	4.943
-0.00002325	-0.12	5	4.943
-0.000023225	-0.12	4.968	4.943
-0.0000232	-0.12	4.984	5.005
-0.000023175	-0.12	4.968	4.943
-0.00002315	-0.12	4.984	4.943
-0.000023125	-0.12	4.968	4.943
-0.0000231	0.005	4.968	4.943
-0.000023075	-0.12	4.968	4.943
-0.00002305	-0.12	5	4.88
-0.000023025	-0.12	5.015	4.943
-0.000023	-0.12	4.968	4.88
-0.000022975	-0.0575	5	4.943
-0.00002295	-0.12	5	4.88
-0.000022925	-0.12	5	4.943
-0.0000229	-0.12	4.984	5.005
-0.000022875	-0.12	5.015	4.943
-0.00002285	-0.12	4.984	4.943
-0.000022825	-0.12	4.968	4.88
-0.0000228	-0.12	4.968	4.88
-0.000022775	-0.12	5	4.88
-0.00002275	0.005	5	4.943
-0.000022725	-0.12	4.968	4.943
-0.0000227	-0.12	4.984	4.943
-0.000022675	-0.12	4.984	4.943
-0.00002265	-0.12	5	4.943
-0.000022625	-0.12	5	5.005
-0.0000226	-0.12	4.968	4.943
-0.000022575	-0.12	5	4.943
-0.00002255	0.005	4.968	4.88
-0.000022525	-0.12	5	4.88
-0.0000225	-0.0575	5	4.943
-0.000022475	-0.12	5	4.943
-0.00002245	-0.12	4.968	5.005
-0.000022425	-0.12	4.968	4.88
-0.0000224	-0.12	4.984	4.943
-0.000022375	-0.0575	4.984	4.943
-0.00002235	-0.0575	4.968	4.943
-0.000022325	-0.12	4.984	5.005
-0.0000223	-0.12	4.984	4.943
-0.000022275	-0.0575	5.015	4.88
-0.00002225	-0.12	5	4.88
-0.000022225	-0.12	4.968	4.943
-0.0000222	0.005	4.968	4.943
-0.000022175	-0.12	5	4.943
-0.00002215	-0.12	4.984	4.943
-0.000022125	-0.12	5	5.005
-0.0000221	0.005	4.984	4.943
-0.000022075	-0.12	5	4.943
-0.00002205	-0.12	4.984	4.943
-0.000022025	-0.12	5	4.943
-0.000022	-0.12	5	4.943
-0.000021975	0.005	4.984	4.943
-0.00002195	-0.12	4.968	4.88
-0.000021925	-0.12	5	4.88
-0.0000219	-0.12	5	4.88
-0.000021875	-0.12	5	5.005
-0.00002185	-0.12	4.984	4.943
-0.000021825	-0.12	5	4.943
-0.0000218	-0.12	4.968	4.943
-0.000021775	-0.12	4.984	4.943
-0.00002175	-0.12	4.984	4.943
-0.000021725	-0.12	4.984	5.005
-0.0000217	-0.12	4.984	4.88
-0.000021675	-0.12	5	4.943
-0.00002165	-0.12	4.984	4.943
-0.000021625	-0.12	5	4.943
-0.0000216	-0.12	4.968	4.943
-0.000021575	0.005	5.015	4.943
-0.00002155	-0.0575	4.984	4.943
-0.000021525	-0.0575	4.984	4.943
-0.0000215	-0.12	4.968	4.943
-0.000021475	-0.12	5	4.943
-0.00002145	0.005	4.968	4.943
-0.000021425	-0.12	5	5.005
-0.0000214	-0.12	4.984	4.943
-0.000021375	-0.12	4.968	5.005
-0.00002135	0.005	4.968	4.88
-0.000021325	-0.12	5.015	4.943
-0.0000213	-0.12	5	4.88
-0.000021275	-0.12	4.984	4.943
-0.00002125	-0.12	4.984	4.943
-0.000021225	-0.12	5	4.943
-0.0000212	-0.12	4.984	4.943
-0.000021175	-0.12	4.984	4.943
-0.00002115	-0.12	5	4.88
-0.000021125	-0.12	5	4.943
-0.0000211	-0.12	4.984	4.943
-0.000021075	-0.0575	5	4.943
-0.00002105	0.005	5	4.943
-0.000021025	-0.12	5	5.005
-0.000021	-0.12	4.968	4.943
-0.000020975	0.005	5	4.943
-0.00002095	-0.12	4.968	4.943
-0.000020925	-0.0575	5	5.005
-0.0000209	-0.12	5	4.943
-0.000020875	-0.12	4.984	4.943
-0.00002085	-0.0575	4.984	4.943
-0.000020825	-0.0575	4.984	4.943
-0.0000208	0.005	5	4.88
-0.000020775	-0.1825	4.984	4.943
-0.00002075	0.005	4.984	4.943
-0.000020725	-0.12	5	4.88
-0.0000207	-0.12	4.968	4.943
-0.000020675	-0.12	5	4.943
-0.00002065	-0.12	4.984	4.943
-0.000020625	-0.12	4.984	4.943
-0.0000206	-0.0575	4.984	4.88
-0.000020575	-0.0575	4.984	4.943
-0.00002055	0.005	5	4.88
-0.000020525	-0.12	4.984	4.88
-0.0000205	-0.12	5	4.943
-0.000020475	0.005	4.984	4.943
-0.00002045	-0.12	4.968	4.943
-0.000020425	-0.12	5.015	4.943
-0.0000204	-0.0575	4.968	4.943
-0.000020375	-0.12	5	4.943
-0.00002035	-0.0575	4.968	4.943
-0.000020325	-0.12	4.984	4.943
-0.0000203	-0.12	5	4.88
-0.000020275	-0.12	5	4.943
-0.00002025	-0.12	5.015	4.88
-0.000020225	0.005	4.984	4.88
-0.0000202	-0.12	4.968	4.943
-0.000020175	-0.12	4.968	4.943
-0.00002015	-0.12	5	4.943
-0.000020125	-0.12	5	4.943
-0.0000201	0.005	5	4.943
-0.000020075	0.005	4.984	4.943
-0.00002005	-0.12	5	4.943
-0.000020025	-0.0575	5.015	4.943
-0.00002	-0.12	5	5.005
-0.000019975	-0.12	4.984	4.943
-0.00001995	-0.12	5	4.943
-0.000019925	-0.12	4.968	4.943
-0.0000199	-0.0575	5	4.943
-0.000019875	-0.12	4.968	4.943
-0.00001985	0.005	4.968	4.943
-0.000019825	0.005	4.984	4.943
-0.0000198	0.005	5	4.943
-0.000019775	0.005	5.015	4.943
-0.00001975	-0.12	5	4.943
-0.000019725	-0.12	4.968	4.943
-0.0000197	-0.0575	4.968	4.943
-0.000019675	0.005	4.984	4.943
-0.00001965	-0.0575	4.968	5.005
-0.000019625	-0.12	4.984	4.88
-0.0000196	-0.0575	4.968	4.943
-0.000019575	-0.12	5	4.943
-0.00001955	-0.0575	4.968	4.943
-0.000019525	-0.0575	5	4.943
-0.0000195	-0.0575	4.968	4.943
-0.000019475	0.005	4.984	4.943
-0.00001945	-0.12	4.984	4.943
-0.000019425	-0.0575	4.968	4.943
-0.0000194	0.005	4.968	4.943
-0.000019375	-0.12	4.984	4.943
-0.00001935	-0.0575	4.984	4.943
-0.000019325	-0.12	4.968	4.88
-0.0000193	0.005	5.015	4.943
-0.000019275	-0.0575	4.984	4.943
-0.00001925	-0.0575	5	4.943
-0.000019225	-0.12	5	4.943
-0.0000192	0.005	4.984	4.943
-0.000019175	-0.0575	5	4.943
-0.00001915	-0.0575	5.015	4.943
