#VCC	IC (mA)	VCE (V)	IC (mA)	VCE (V)	IC (mA)	VCE (V)	IC (mA)	VCE (V)
0       0       0       0       0       0       0       0       0
0.5	0.232	0.454	2.73	0.178	3.08	0.135	3.21	0.12
0.75	0.233	0.705	4.34	0.236	4.95	0.163	5.11	0.143
1	0.234	0.954	4.96	0.41	6.8	0.191	7.02	0.164
1.25	0.237	1.204	4.95	0.662	8.58	0.229	8.93	0.186
1.5	0.237	1.454	4.97	0.91	9.1	0.421	10.79	0.214
2	0.242	1.954	4.98	1.409	9.4	0.881	10.33	0.77
4	0.246	3.95	5.15	3.39	10.79	2.71	11.33	2.67
6	0.252	5.95	5.25	5.38	11.03	4.68	13.95	4.34
8	0.255	7.95	5.39	7.36	11.45	6.63	15.63	6.14
10	0.257	9.96	5.58	9.34	11.99	8.56	16.6	8.02
12	0.262	11.95	5.77	11.31	12.72	10.47	17.98	9.95
14	0.266	13.94	5.97	13.28	13.41	12.39	19.2	11.7
16	0.268	15.95	6.21	15.26	14.2	14.29	20.7	13.69
18	0.27	17.95	6.45	17.23	15.05	16.2	22.4	15.53
20	0.274	19.95	6.69	19.2	15.85	18.1	23.8	17.37
